Source,Target,Weight
Draymond Green,Stephen Curry,14
Giannis Antetokounmpo,Khris Middleton,12
Klay Thompson,Stephen Curry,11
Kevon Looney,Stephen Curry,10
Draymond Green,Kevon Looney,10
Joe Ingles,Rudy Gobert,10
Draymond Green,Klay Thompson,10
Jamal Murray,Nikola Jokić,9
Luka Dončić,Maxi Kleber,8
De'Aaron Fox,Harrison Barnes,8
Caris LeVert,Jarrett Allen,8
Dwight Powell,Maxi Kleber,8
Kevin Durant,Russell Westbrook,8
OG Anunoby,Pascal Siakam,7
Bam Adebayo,Duncan Robinson,7
Brook Lopez,Giannis Antetokounmpo,7
Brook Lopez,Khris Middleton,7
Brook Lopez,Pat Connaughton,7
Mike Conley,Rudy Gobert,7
Giannis Antetokounmpo,Pat Connaughton,7
Ja Morant,John Konchar,7
Khris Middleton,Pat Connaughton,7
Dwight Powell,Luka Dončić,7
Luguentz Dort,Shai Gilgeous-Alexander,7
Aaron Gordon,Nikola Vučević,7
Immanuel Quickley,RJ Barrett,7
Bam Adebayo,Tyler Herro,7
Al Horford,Jaylen Brown,7
Jaylen Brown,Marcus Smart,7
Darius Garland,Dean Wade,7
DeMar DeRozan,Jonas Valančiūnas,7
Kevon Looney,Klay Thompson,7
Jaren Jackson Jr.,John Konchar,7
Ja Morant,Jaren Jackson Jr.,7
Jonas Valančiūnas,Kyle Lowry,7
Joel Embiid,Tyrese Maxey,6
Anthony Davis,LeBron James,6
DeMar DeRozan,Kyle Lowry,6
Giannis Antetokounmpo,Thanasis Antetokounmpo,6
Paul Reed,Tobias Harris,6
Ivica Zubac,Kawhi Leonard,6
Luka Dončić,Tim Hardaway Jr.,6
De'Andre Hunter,Trae Young,6
Gary Harris,Nikola Jokić,6
Dwight Powell,Tim Hardaway Jr.,6
Bam Adebayo,Jimmy Butler,6
Bobby Portis,Giannis Antetokounmpo,6
D'Angelo Russell,Jarred Vanderbilt,6
Nikola Vučević,Patrick Williams,6
Darius Garland,Jarrett Allen,6
