Player,Group_ID,Role,Color_Index
Pascal Siakam,1,Core,0
OG Anunoby,1,Core,0
T.J. McConnell,1,Core,0
Fred VanVleet,1,Core,0
RJ Barrett,1,Core,0
Jakob Poeltl,1,Member,0
Chris Boucher,1,Member,0
Mitchell Robinson,1,Member,0
Myles Turner,1,Member,0
Immanuel Quickley,1,Member,0
Julius Randle,1,Member,0
Buddy Hield,1,Member,0
Josh Hart,1,Member,0
Isaiah Jackson,1,Member,0
Jalen Brunson,1,Member,0
Aaron Nesmith,1,Member,0
Gary Trent Jr.,1,Member,0
Kelly Olynyk,1,Member,0
Tyrese Haliburton,1,Member,0
Malachi Flynn,1,Member,0
Miles McBride,1,Member,0
James Johnson,1,Member,0
Andrew Nembhard,1,Member,0
Bennedict Mathurin,1,Member,0
Scottie Barnes,1,Member,0
Jalen Smith,1,Member,0
Obi Toppin,1,Member,0
Jericho Sims,1,Member,0
Garrett Temple,1,Member,0
Precious Achiuwa,1,Member,0
Tony Bradley,1,Member,0
Ochai Agbaji,1,Member,0
Bruce Brown,1,Member,0
Quenton Jackson,1,Member,0
Jarace Walker,1,Member,0
Ben Sheppard,1,Member,0
James Wiseman,1,Member,0
Gradey Dick,1,Member,0
Oshae Brissett,1,Member,0
Jahlil Okafor,1,Member,0
Chris Duarte,1,Member,0
Ron Harper Jr.,1,Member,0
DaQuan Jeffries,1,Member,0
RayJ Dennis,1,Member,0
Johnny Furphy,1,Member,0
Jay Huff,1,Member,0
D.J. Carton,1,Member,0
Jonathan Mogbo,1,Member,0
Ja'Kobe Walter,1,Member,0
Jamison Battle,1,Member,0
Jamal Shead,1,Member,0
Pacome Dadiet,1,Member,0
Tyler Kolek,1,Member,0
Ariel Hukporti,1,Member,0
Mac McClung,1,Member,0
Tristen Newton,1,Member,0
Ulrich Chomche,1,Member,0
Enrique Freeman,1,Member,0
Taelon Peter,1,Member,0
Anton Watson,1,Member,0
Kevin McCullar Jr.,1,Member,0
Mohamed Diawara,1,Member,0
Collin Murray-Boyles,1,Member,0
Chucky Hepburn,1,Member,0
Dwight Powell,2,Core,1
Maxi Kleber,2,Core,1
Luka Dončić,2,Core,1
Dorian Finney-Smith,2,Core,1
Jarred Vanderbilt,2,Core,1
Tim Hardaway Jr.,2,Member,1
Anthony Davis,2,Member,1
D'Angelo Russell,2,Member,1
Kyrie Irving,2,Member,1
LeBron James,2,Member,1
Malik Beasley,2,Member,1
Markieff Morris,2,Member,1
Spencer Dinwiddie,2,Member,1
Rui Hachimura,2,Member,1
Daniel Gafford,2,Member,1
Bradley Beal,2,Member,1
Austin Reaves,2,Member,1
Seth Curry,2,Member,1
Jaxson Hayes,2,Member,1
Max Christie,2,Member,1
Kristaps Porziņģis,2,Member,1
Thomas Bryant,2,Member,1
Josh Green,2,Member,1
Jaden Hardy,2,Member,1
Cam Reddish,2,Member,1
Taurean Prince,2,Member,1
Brandon Williams,2,Member,1
Dereck Lively II,2,Member,1
Jordan Goodwin,2,Member,1
Moses Brown,2,Member,1
Maxwell Lewis,2,Member,1
Jalen Hood-Schifino,2,Member,1
Trey Jemison,2,Member,1
Olivier-Maxence Prosper,2,Member,1
A.J. Lawson,2,Member,1
Christian Koloko,2,Member,1
Bronny James,2,Member,1
Dalton Knecht,2,Member,1
Colin Castleton,2,Member,1
Quincy Olivari,2,Member,1
Jazian Gortman,2,Member,1
Armel Traoré,2,Member,1
Chris Mañon,2,Member,1
Adou Thiero,2,Member,1
Moussa Cisse,2,Member,1
Ryan Nembhard,2,Member,1
Miles Kelly,2,Member,1
Cooper Flagg,2,Member,1
Kyle Lowry,3,Core,2
Kawhi Leonard,3,Core,2
Ivica Zubac,3,Core,2
Kevin Durant,3,Core,2
Reggie Jackson,3,Core,2
Jonas Valančiūnas,3,Member,2
Russell Westbrook,3,Member,2
Norman Powell,3,Member,2
James Harden,3,Member,2
Patty Mills,3,Member,2
Nicolas Batum,3,Member,2
Terance Mann,3,Member,2
Amir Coffey,3,Member,2
Paul George,3,Member,2
Andre Drummond,3,Member,2
Jeff Green,3,Member,2
Delon Wright,3,Member,2
P.J. Tucker,3,Member,2
Eric Gordon,3,Member,2
Kentavious Caldwell-Pope,3,Member,2
Drew Eubanks,3,Member,2
Caleb Martin,3,Member,2
Cory Joseph,3,Member,2
Bones Hyland,3,Member,2
Lonnie Walker IV,3,Member,2
KJ Martin,3,Member,2
Derrick Jones Jr.,3,Member,2
Kevin Porter Jr.,3,Member,2
Brandon Boston Jr.,3,Member,2
Jordan Miller,3,Member,2
Kobe Brown,3,Member,2
Adem Bona,3,Member,2
Jared McCain,3,Member,2
Justin Edwards,3,Member,2
Guerschon Yabusele,3,Member,2
Cam Christie,3,Member,2
Phillip Wheeler,3,Member,2
Marcus Bagley,3,Member,2
Trentyn Flowers,3,Member,2
VJ Edgecombe,3,Member,2
Kobe Sanders,3,Member,2
Jahmyl Telfort,3,Member,2
Hunter Sallis,3,Member,2
Johni Broome,3,Member,2
Yanic Konan Niederhauser,3,Member,2
Mikal Bridges,4,Core,3
Royce O'Neale,4,Core,3
Cameron Johnson,4,Core,3
Devin Booker,4,Core,3
Nic Claxton,4,Core,3
Cameron Payne,4,Member,3
Deandre Ayton,4,Member,3
Chris Paul,4,Member,3
Cam Thomas,4,Member,3
Day'Ron Sharpe,4,Member,3
Ben Simmons,4,Member,3
Dennis Schröder,4,Member,3
Jae Crowder,4,Member,3
Bismack Biyombo,4,Member,3
Dario Šarić,4,Member,3
Landry Shamet,4,Member,3
Trendon Watford,4,Member,3
Keon Johnson,4,Member,3
Noah Clowney,4,Member,3
Jalen Wilson,4,Member,3
Dariq Whitehead,4,Member,3
Tyrese Martin,4,Member,3
Collin Gillespie,4,Member,3
Tyson Etienne,4,Member,3
Oso Ighodaro,4,Member,3
Ryan Dunn,4,Member,3
Reece Beekman,4,Member,3
Drew Timme,4,Member,3
Cui Yongxi,4,Member,3
Jalen Bridges,4,Member,3
Koby Brea,4,Member,3
Rasheer Fleming,4,Member,3
Khaman Maluach,4,Member,3
Nigel Hayes-Davis,4,Member,3
Egor Dёmin,4,Member,3
Ben Saraf,4,Member,3
Danny Wolf,4,Member,3
Drake Powell,4,Member,3
Nolan Traoré,4,Member,3
Trae Young,5,Core,4
Clint Capela,5,Core,4
De'Andre Hunter,5,Core,4
Onyeka Okongwu,5,Core,4
Bogdan Bogdanović,5,Core,4
Larry Nance Jr.,5,Member,4
Jordan Clarkson,5,Member,4
Lauri Markkanen,5,Member,4
Jalen Johnson,5,Member,4
John Collins,5,Member,4
Collin Sexton,5,Member,4
Bruno Fernando,5,Member,4
Kris Dunn,5,Member,4
Garrison Mathews,5,Member,4
Vit Krejci,5,Member,4
Walker Kessler,5,Member,4
Micah Potter,5,Member,4
Johnny Juzang,5,Member,4
Svi Mykhailiuk,5,Member,4
Talen Horton-Tucker,5,Member,4
Brice Sensabaugh,5,Member,4
Keyonte George,5,Member,4
Taylor Hendricks,5,Member,4
Mouhamed Gueye,5,Member,4
Dyson Daniels,5,Member,4
Jacob Toppin,5,Member,4
Isaiah Collier,5,Member,4
Elijah Harkless,5,Member,4
Cody Williams,5,Member,4
Kyle Filipowski,5,Member,4
Kobe Bufkin,5,Member,4
Zaccharie Risacher,5,Member,4
Keaton Wallace,5,Member,4
Oscar Tshiebwe,5,Member,4
Daeqwon Plowden,5,Member,4
Asa Newell,5,Member,4
Walter Clayton,5,Member,4
Ace Bailey,5,Member,4
Jaylen Brown,6,Core,5
Jayson Tatum,6,Core,5
Marcus Smart,6,Core,5
Al Horford,6,Core,5
Derrick White,6,Core,5
Payton Pritchard,6,Member,5
Luke Kornet,6,Member,5
Robert Williams,6,Member,5
Daniel Theis,6,Member,5
Sam Hauser,6,Member,5
Matisse Thybulle,6,Member,5
Anfernee Simons,6,Member,5
Jerami Grant,6,Member,5
Grant Williams,6,Member,5
Shaedon Sharpe,6,Member,5
Neemias Queta,6,Member,5
Toumani Camara,6,Member,5
Rayan Rupert,6,Member,5
Duop Reath,6,Member,5
Kris Murray,6,Member,5
JD Davison,6,Member,5
Jordan Walsh,6,Member,5
Jabari Walker,6,Member,5
Justin Minaya,6,Member,5
Dalano Banton,6,Member,5
Drew Peterson,6,Member,5
Scoot Henderson,6,Member,5
Taze Moore,6,Member,5
Donovan Clingan,6,Member,5
Baylor Scheierman,6,Member,5
Miles Norris,6,Member,5
Caleb Love,6,Member,5
Javonte Cooke,6,Member,5
Yang Hansen,6,Member,5
Hugo González,6,Member,5
Amari Williams,6,Member,5
Tobias Harris,7,Core,6
Joel Embiid,7,Core,6
Shake Milton,7,Core,6
Tyrese Maxey,7,Core,6
Isaiah Stewart,7,Core,6
Paul Reed,7,Member,6
Cade Cunningham,7,Member,6
Kelly Oubre Jr.,7,Member,6
Jalen Duren,7,Member,6
Jaden Ivey,7,Member,6
Jaden Springer,7,Member,6
Killian Hayes,7,Member,6
Saddiq Bey,7,Member,6
Wendell Moore Jr.,7,Member,6
Isaiah Livers,7,Member,6
Ausar Thompson,7,Member,6
Simone Fontecchio,7,Member,6
Jared Rhoden,7,Member,6
Jeff Dowtin,7,Member,6
Braxton Key,7,Member,6
Stanley Umude,7,Member,6
Tosan Evbuomwan,7,Member,6
Ron Holland,7,Member,6
Bobi Klintman,7,Member,6
Tolu Smith,7,Member,6
Daniss Jenkins,7,Member,6
Ricky Council IV,7,Member,6
Marcus Sasser,7,Member,6
Chaz Lanier,7,Member,6
Jaren Jackson Jr.,8,Core,7
John Konchar,8,Core,7
Ja Morant,8,Core,7
Brandon Clarke,8,Core,7
Desmond Bane,8,Core,7
Santi Aldama,8,Member,7
Dillon Brooks,8,Member,7
Xavier Tillman Sr.,8,Member,7
Tyus Jones,8,Member,7
Luke Kennard,8,Member,7
Kyle Anderson,8,Member,7
Steven Adams,8,Member,7
Vince Williams Jr.,8,Member,7
Grayson Allen,8,Member,7
De'Anthony Melton,8,Member,7
Jake LaRavia,8,Member,7
Ziaire Williams,8,Member,7
Lamar Stevens,8,Member,7
GG Jackson II,8,Member,7
David Roddy,8,Member,7
Scotty Pippen Jr.,8,Member,7
Jaylen Wells,8,Member,7
Zach Edey,8,Member,7
Cam Spencer,8,Member,7
Yuki Kawamura,8,Member,7
