Player,Group_ID,Role,Color_Index
Tobias Harris,1,Core,0
Joel Embiid,1,Core,0
Kyle Kuzma,1,Core,0
Anthony Gill,1,Core,0
Alex Caruso,1,Core,0
Matisse Thybulle,1,Member,0
Andre Drummond,1,Member,0
Kentavious Caldwell-Pope,1,Member,0
Tyrese Maxey,1,Member,0
Daniel Gafford,1,Member,0
Bradley Beal,1,Member,0
Paul Reed,1,Member,0
Jerami Grant,1,Member,0
Isaiah Stewart,1,Member,0
Corey Kispert,1,Member,0
Cade Cunningham,1,Member,0
Thomas Bryant,1,Member,0
Deni Avdija,1,Member,0
Shaedon Sharpe,1,Member,0
Jalen Duren,1,Member,0
Jaden Ivey,1,Member,0
Kelly Oubre Jr.,1,Member,0
Justin Champagnie,1,Member,0
Kris Murray,1,Member,0
Rayan Rupert,1,Member,0
Duop Reath,1,Member,0
Toumani Camara,1,Member,0
Bilal Coulibaly,1,Member,0
Tristan Vukcevic,1,Member,0
Jordan Goodwin,1,Member,0
Ausar Thompson,1,Member,0
Jabari Walker,1,Member,0
Isaiah Livers,1,Member,0
AJ Johnson,1,Member,0
Bobi Klintman,1,Member,0
Tolu Smith,1,Member,0
Ron Holland,1,Member,0
Daniss Jenkins,1,Member,0
Alex Sarr,1,Member,0
Bub Carrington,1,Member,0
Jamaree Bouyea,1,Member,0
Kyshawn George,1,Member,0
Justin Edwards,1,Member,0
Donovan Clingan,1,Member,0
Adem Bona,1,Member,0
Jared McCain,1,Member,0
Sharife Cooper,1,Member,0
Tre Johnson,1,Member,0
Will Riley,1,Member,0
Chaz Lanier,1,Member,0
Jamir Watkins,1,Member,0
Johni Broome,1,Member,0
Hunter Sallis,1,Member,0
VJ Edgecombe,1,Member,0
Caleb Love,1,Member,0
Yang Hansen,1,Member,0
Javonte Cooke,1,Member,0
Nikola Jokić,2,Core,1
Jamal Murray,2,Core,1
Nikola Vučević,2,Core,1
Aaron Gordon,2,Core,1
Gary Harris,2,Core,1
Zach LaVine,2,Member,1
Coby White,2,Member,1
Patrick Williams,2,Member,1
Zeke Nnaji,2,Member,1
Wendell Carter Jr.,2,Member,1
Michael Porter Jr.,2,Member,1
Ayo Dosunmu,2,Member,1
Goga Bitadze,2,Member,1
Franz Wagner,2,Member,1
Jalen Suggs,2,Member,1
Cole Anthony,2,Member,1
Mason Plumlee,2,Member,1
Jonathan Isaac,2,Member,1
Peyton Watson,2,Member,1
Christian Braun,2,Member,1
Paolo Banchero,2,Member,1
Monte Morris,2,Member,1
Javonte Green,2,Member,1
Dalen Terry,2,Member,1
Jevon Carter,2,Member,1
Jalen Pickett,2,Member,1
Hunter Tyson,2,Member,1
Julian Strawther,2,Member,1
Caleb Houstan,2,Member,1
Jett Howard,2,Member,1
Anthony Black,2,Member,1
Julian Phillips,2,Member,1
Emanuel Miller,2,Member,1
Matas Buzelis,2,Member,1
Spencer Jones,2,Member,1
Tristan Da Silva,2,Member,1
Noa Essengue,2,Member,1
Lachlan Olbrich,2,Member,1
Curtis Jones,2,Member,1
DaRon Holmes,2,Member,1
Noah Penda,2,Member,1
Jase Richardson,2,Member,1
Harrison Barnes,3,Core,2
De'Aaron Fox,3,Core,2
T.J. McConnell,3,Core,2
Domantas Sabonis,3,Core,2
Myles Turner,3,Core,2
Doug McDermott,3,Member,2
Isaiah Jackson,3,Member,2
Marvin Bagley III,3,Member,2
Buddy Hield,3,Member,2
Aaron Nesmith,3,Member,2
Bennedict Mathurin,3,Member,2
Andrew Nembhard,3,Member,2
Malik Monk,3,Member,2
Obi Toppin,3,Member,2
Keegan Murray,3,Member,2
Keon Ellis,3,Member,2
Quenton Jackson,3,Member,2
Tony Bradley,3,Member,2
Jalen Smith,3,Member,2
Ben Sheppard,3,Member,2
Jarace Walker,3,Member,2
James Wiseman,3,Member,2
Davion Mitchell,3,Member,2
RayJ Dennis,3,Member,2
Johnny Furphy,3,Member,2
Isaac Jones,3,Member,2
Colby Jones,3,Member,2
Jay Huff,3,Member,2
Devin Carter,3,Member,2
Mac McClung,3,Member,2
Taelon Peter,3,Member,2
Nique Clifford,3,Member,2
Maxime Raynaud,3,Member,2
Dylan Cardwell,3,Member,2
Rudy Gobert,4,Core,3
Joe Ingles,4,Core,3
Mike Conley,4,Core,3
Naz Reid,4,Core,3
Anthony Davis,4,Core,3
Anthony Edwards,4,Member,3
Jaden McDaniels,4,Member,3
Karl-Anthony Towns,4,Member,3
D'Angelo Russell,4,Member,3
LeBron James,4,Member,3
Jarred Vanderbilt,4,Member,3
Royce O'Neale,4,Member,3
Jordan McLaughlin,4,Member,3
Rui Hachimura,4,Member,3
Jrue Holiday,4,Member,3
Nickeil Alexander-Walker,4,Member,3
Austin Reaves,4,Member,3
Josh Okogie,4,Member,3
Max Christie,4,Member,3
Luka Garza,4,Member,3
Josh Minott,4,Member,3
Taurean Prince,4,Member,3
Leonard Miller,4,Member,3
Wendell Moore Jr.,4,Member,3
Terrence Shannon Jr.,4,Member,3
Rob Dillingham,4,Member,3
Jaylen Clark,4,Member,3
Christian Koloko,4,Member,3
Bronny James,4,Member,3
Dalton Knecht,4,Member,3
Chris Mañon,4,Member,3
Adou Thiero,4,Member,3
Joan Beringer,4,Member,3
Ivica Zubac,5,Core,4
Kevin Durant,5,Core,4
Russell Westbrook,5,Core,4
Terance Mann,5,Core,4
Amir Coffey,5,Core,4
James Harden,5,Member,4
Nicolas Batum,5,Member,4
Kawhi Leonard,5,Member,4
Paul George,5,Member,4
Jeff Green,5,Member,4
Eric Gordon,5,Member,4
Jae'Sean Tate,5,Member,4
Steven Adams,5,Member,4
Alperen Şengün,5,Member,4
Bones Hyland,5,Member,4
Aaron Holiday,5,Member,4
Jabari Smith Jr.,5,Member,4
Tari Eason,5,Member,4
Jalen Green,5,Member,4
Amen Thompson,5,Member,4
Kobe Brown,5,Member,4
Jordan Miller,5,Member,4
Kevin Porter Jr.,5,Member,4
Moussa Diabaté,5,Member,4
Jock Landale,5,Member,4
Cam Whitmore,5,Member,4
Cam Christie,5,Member,4
Reed Sheppard,5,Member,4
Isaiah Crawford,5,Member,4
N'Faly Dante,5,Member,4
Yanic Konan Niederhauser,5,Member,4
Jahmyl Telfort,5,Member,4
Kobe Sanders,5,Member,4
Jarrett Allen,6,Core,5
Dean Wade,6,Core,5
Darius Garland,6,Core,5
Caris LeVert,6,Core,5
Donovan Mitchell,6,Core,5
Larry Nance Jr.,6,Member,5
Jordan Clarkson,6,Member,5
Evan Mobley,6,Member,5
Kevin Love,6,Member,5
Lauri Markkanen,6,Member,5
Isaac Okoro,6,Member,5
Collin Sexton,6,Member,5
Sam Merrill,6,Member,5
Kris Dunn,6,Member,5
Walker Kessler,6,Member,5
Craig Porter Jr.,6,Member,5
Johnny Juzang,6,Member,5
Keyonte George,6,Member,5
Taylor Hendricks,6,Member,5
Brice Sensabaugh,6,Member,5
Svi Mykhailiuk,6,Member,5
Simone Fontecchio,6,Member,5
Jaylon Tyson,6,Member,5
Luke Travers,6,Member,5
Nae'Qwan Tomlin,6,Member,5
Elijah Harkless,6,Member,5
Cody Williams,6,Member,5
Kyle Filipowski,6,Member,5
Isaiah Collier,6,Member,5
Tyrese Proctor,6,Member,5
Walter Clayton,6,Member,5
Ace Bailey,6,Member,5
Maxi Kleber,7,Core,6
Dwight Powell,7,Core,6
Luka Dončić,7,Core,6
RJ Barrett,7,Core,6
Tim Hardaway Jr.,7,Core,6
Immanuel Quickley,7,Member,6
Mitchell Robinson,7,Member,6
Josh Hart,7,Member,6
Julius Randle,7,Member,6
Jalen Brunson,7,Member,6
Miles McBride,7,Member,6
Jericho Sims,7,Member,6
Kristaps Porziņģis,7,Member,6
Quentin Grimes,7,Member,6
Jaden Hardy,7,Member,6
Brandon Williams,7,Member,6
Dereck Lively II,7,Member,6
Olivier-Maxence Prosper,7,Member,6
Ariel Hukporti,7,Member,6
Tyler Kolek,7,Member,6
Pacome Dadiet,7,Member,6
Cooper Flagg,7,Member,6
Mohamed Diawara,7,Member,6
Miles Kelly,7,Member,6
Moussa Cisse,7,Member,6
Ryan Nembhard,7,Member,6
Jaren Jackson Jr.,8,Core,7
John Konchar,8,Core,7
Ja Morant,8,Core,7
Desmond Bane,8,Core,7
Santi Aldama,8,Core,7
Dillon Brooks,8,Member,7
Xavier Tillman Sr.,8,Member,7
Tyus Jones,8,Member,7
Kyle Anderson,8,Member,7
Luke Kennard,8,Member,7
Vince Williams Jr.,8,Member,7
Grayson Allen,8,Member,7
Ziaire Williams,8,Member,7
Jake LaRavia,8,Member,7
GG Jackson II,8,Member,7
Trey Jemison,8,Member,7
Jaylen Wells,8,Member,7
Zach Edey,8,Member,7
Cam Spencer,8,Member,7
Tosan Evbuomwan,8,Member,7
PJ Hall,8,Member,7
Javon Small,8,Member,7
Jahmai Mashack,8,Member,7
Cedric Coward,8,Member,7
Mikal Bridges,9,Core,8
DeAndre Jordan,9,Core,8
Devin Booker,9,Core,8
Cameron Johnson,9,Core,8
Deandre Ayton,9,Core,8
Chris Paul,9,Member,8
Nic Claxton,9,Member,8
Day'Ron Sharpe,9,Member,8
Cam Thomas,9,Member,8
Bismack Biyombo,9,Member,8
Dario Šarić,9,Member,8
Landry Shamet,9,Member,8
Jalen Wilson,9,Member,8
Noah Clowney,9,Member,8
Trendon Watford,9,Member,8
Tyrese Martin,9,Member,8
Tyson Etienne,9,Member,8
Trey Alexander,9,Member,8
Drew Timme,9,Member,8
Drake Powell,9,Member,8
Egor Dёmin,9,Member,8
Ben Saraf,9,Member,8
Nolan Traoré,9,Member,8
Danny Wolf,9,Member,8
Kyle Lowry,10,Core,9
Pascal Siakam,10,Core,9
DeMar DeRozan,10,Core,9
Jonas Valančiūnas,10,Core,9
OG Anunoby,10,Core,9
Norman Powell,10,Member,9
Jakob Poeltl,10,Member,9
Chris Boucher,10,Member,9
Gary Trent Jr.,10,Member,9
Scottie Barnes,10,Member,9
Garrett Temple,10,Member,9
Precious Achiuwa,10,Member,9
Drew Eubanks,10,Member,9
Ochai Agbaji,10,Member,9
Bruce Brown,10,Member,9
Gradey Dick,10,Member,9
Ron Harper Jr.,10,Member,9
Jamison Battle,10,Member,9
Ja'Kobe Walter,10,Member,9
Jamal Shead,10,Member,9
Jonathan Mogbo,10,Member,9
Chucky Hepburn,10,Member,9
Collin Murray-Boyles,10,Member,9
Cody Martin,11,Core,10
Nick Richards,11,Core,10
P.J. Washington,11,Core,10
LaMelo Ball,11,Core,10
Miles Bridges,11,Core,10
Mark Williams,11,Member,10
Brandon Miller,11,Member,10
