Player,Group_ID,Color_Index,Role
Russell Westbrook,1,0,Core
Bruce Brown,1,0,Core
DeAndre Jordan,1,0,Core
James Harden,1,0,Core
Jeff Green,1,0,Core
Ivica Zubac,1,0,Member
Kentavious Caldwell-Pope,1,0,Member
Kevin Durant,1,0,Member
Mason Plumlee,1,0,Member
Drew Eubanks,1,0,Member
Jusuf Nurkić,1,0,Member
Eric Gordon,1,0,Member
Terance Mann,1,0,Member
Nikola Jokić,1,0,Member
Nicolas Batum,1,0,Member
Tobias Harris,1,0,Member
Aaron Gordon,1,0,Member
Jamal Murray,1,0,Member
Landry Shamet,1,0,Member
Jerami Grant,1,0,Member
Paul George,1,0,Member
Kawhi Leonard,1,0,Member
Mikal Bridges,1,0,Member
Tim Hardaway Jr.,1,0,Member
Deandre Ayton,1,0,Member
Kelly Oubre Jr.,1,0,Member
Michael Porter Jr.,1,0,Member
Devin Booker,1,0,Member
Cameron Johnson,1,0,Member
Matisse Thybulle,1,0,Member
Robert Williams,1,0,Member
Joel Embiid,1,0,Member
Anfernee Simons,1,0,Member
Zeke Nnaji,1,0,Member
Jay Huff,1,0,Member
Ziaire Williams,1,0,Member
Nic Claxton,1,0,Member
Paul Reed,1,0,Member
Sidy Cissoko,1,0,Member
Tyrese Maxey,1,0,Member
Trendon Watford,1,0,Member
Peyton Watson,1,0,Member
Christian Braun,1,0,Member
Tosan Evbuomwan,1,0,Member
Moussa Diabaté,1,0,Member
Cam Thomas,1,0,Member
Day'Ron Sharpe,1,0,Member
Jabari Walker,1,0,Member
Shaedon Sharpe,1,0,Member
Bryce McGowens,1,0,Member
Kobe Brown,1,0,Member
Jordan Miller,1,0,Member
Collin Gillespie,1,0,Member
Hunter Tyson,1,0,Member
Julian Strawther,1,0,Member
Jalen Pickett,1,0,Member
E.J. Liddell,1,0,Member
Rayan Rupert,1,0,Member
Kris Murray,1,0,Member
Duop Reath,1,0,Member
Toumani Camara,1,0,Member
Tyrese Martin,1,0,Member
Jalen Wilson,1,0,Member
Noah Clowney,1,0,Member
Guerschon Yabusele,1,0,Member
PJ Hall,1,0,Member
Trey Alexander,1,0,Member
Cam Christie,1,0,Member
Spencer Jones,1,0,Member
Drew Timme,1,0,Member
Justin Edwards,1,0,Member
Jared McCain,1,0,Member
Donovan Clingan,1,0,Member
Adem Bona,1,0,Member
Tyson Etienne,1,0,Member
Jahmyl Telfort,1,0,Member
Kobe Sanders,1,0,Member
Hunter Sallis,1,0,Member
VJ Edgecombe,1,0,Member
Johni Broome,1,0,Member
Yanic Konan Niederhauser,1,0,Member
Danny Wolf,1,0,Member
Drake Powell,1,0,Member
Javonte Cooke,1,0,Member
Egor Dёmin,1,0,Member
Caleb Love,1,0,Member
Nolan Traoré,1,0,Member
Curtis Jones,1,0,Member
Ben Saraf,1,0,Member
Yang Hansen,1,0,Member
DaRon Holmes,1,0,Member
Dennis Schröder,2,1,Core
Kelly Olynyk,2,1,Core
Andrew Wiggins,2,1,Core
Kyle Anderson,2,1,Core
Doug McDermott,2,1,Core
Kyle Lowry,2,1,Member
Jimmy Butler,2,1,Member
Gary Payton II,2,1,Member
Marvin Bagley III,2,1,Member
Stephen Curry,2,1,Member
Draymond Green,2,1,Member
Dario Šarić,2,1,Member
Kevon Looney,2,1,Member
Harrison Barnes,2,1,Member
Chris Paul,2,1,Member
Buddy Hield,2,1,Member
De'Aaron Fox,2,1,Member
Klay Thompson,2,1,Member
Lindy Waters III,2,1,Member
Domantas Sabonis,2,1,Member
Precious Achiuwa,2,1,Member
Al Horford,2,1,Member
Keldon Johnson,2,1,Member
Duncan Robinson,2,1,Member
Jordan Poole,2,1,Member
Bam Adebayo,2,1,Member
Malik Monk,2,1,Member
Devin Vassell,2,1,Member
James Wiseman,2,1,Member
Orlando Robinson,2,1,Member
Tyler Herro,2,1,Member
Julian Champagnie,2,1,Member
Davion Mitchell,2,1,Member
Simone Fontecchio,2,1,Member
Isaiah Stewart,2,1,Member
Jonathan Kuminga,2,1,Member
Moses Moody,2,1,Member
Jeremy Sochan,2,1,Member
Malaki Branham,2,1,Member
Cade Cunningham,2,1,Member
Dru Smith,2,1,Member
Blake Wesley,2,1,Member
Colby Jones,2,1,Member
Neemias Queta,2,1,Member
Jamal Cain,2,1,Member
Nikola Jović,2,1,Member
Jalen Duren,2,1,Member
Jaden Ivey,2,1,Member
Isaac Jones,2,1,Member
Keegan Murray,2,1,Member
Keon Ellis,2,1,Member
Victor Wembanyama,2,1,Member
Ausar Thompson,2,1,Member
Gui Santos,2,1,Member
Trayce Jackson-Davis,2,1,Member
Brandin Podziemski,2,1,Member
Pat Spencer,2,1,Member
Isaiah Livers,2,1,Member
Jaime Jaquez Jr.,2,1,Member
Harrison Ingram,2,1,Member
Stephon Castle,2,1,Member
Riley Minix,2,1,Member
Daniss Jenkins,2,1,Member
Ron Holland,2,1,Member
Bobi Klintman,2,1,Member
Tolu Smith,2,1,Member
Devin Carter,2,1,Member
Isaiah Crawford,2,1,Member
Quinten Post,2,1,Member
Keshad Johnson,2,1,Member
Kel'el Ware,2,1,Member
Pelle Larsson,2,1,Member
Nique Clifford,2,1,Member
Carter Bryant,2,1,Member
Dylan Harper,2,1,Member
Chaz Lanier,2,1,Member
David Jones García,2,1,Member
Maxime Raynaud,2,1,Member
Dylan Cardwell,2,1,Member
Will Richard,2,1,Member
Myron Gardner,2,1,Member
Larry Nance Jr.,3,2,Core
Thomas Bryant,3,2,Core
Zach LaVine,3,2,Core
Luke Kornet,3,2,Core
Caris LeVert,3,2,Core
Andre Drummond,3,2,Member
DeMar DeRozan,3,2,Member
Javonte Green,3,2,Member
Kevin Love,3,2,Member
Nikola Vučević,3,2,Member
