Player,Group_ID,Role,Color_Index
Tobias Harris,1,Core,0
Joel Embiid,1,Core,0
Matisse Thybulle,1,Core,0
Shake Milton,1,Core,0
Tyrese Maxey,1,Core,0
Anfernee Simons,1,Member,0
Isaiah Stewart,1,Member,0
Jerami Grant,1,Member,0
Paul Reed,1,Member,0
Cade Cunningham,1,Member,0
Cory Joseph,1,Member,0
Kelly Oubre Jr.,1,Member,0
Shaedon Sharpe,1,Member,0
Jalen Duren,1,Member,0
Jaden Ivey,1,Member,0
Jaden Springer,1,Member,0
Killian Hayes,1,Member,0
Kris Murray,1,Member,0
Duop Reath,1,Member,0
Rayan Rupert,1,Member,0
Toumani Camara,1,Member,0
Jabari Walker,1,Member,0
Saddiq Bey,1,Member,0
Wendell Moore Jr.,1,Member,0
Justin Minaya,1,Member,0
Dalano Banton,1,Member,0
Isaiah Livers,1,Member,0
Ausar Thompson,1,Member,0
Simone Fontecchio,1,Member,0
Jared Rhoden,1,Member,0
Jeff Dowtin,1,Member,0
Braxton Key,1,Member,0
Stanley Umude,1,Member,0
Scoot Henderson,1,Member,0
Taze Moore,1,Member,0
Tosan Evbuomwan,1,Member,0
Ron Holland,1,Member,0
Tolu Smith,1,Member,0
Bobi Klintman,1,Member,0
Daniss Jenkins,1,Member,0
Donovan Clingan,1,Member,0
Ricky Council IV,1,Member,0
Marcus Sasser,1,Member,0
Chaz Lanier,1,Member,0
Yang Hansen,1,Member,0
Javonte Cooke,1,Member,0
Caleb Love,1,Member,0
Kyle Lowry,2,Core,1
Kawhi Leonard,2,Core,1
Ivica Zubac,2,Core,1
Reggie Jackson,2,Core,1
Kevin Durant,2,Core,1
DeMar DeRozan,2,Member,1
Jonas Valančiūnas,2,Member,1
Russell Westbrook,2,Member,1
Norman Powell,2,Member,1
James Harden,2,Member,1
Patty Mills,2,Member,1
Nicolas Batum,2,Member,1
Terance Mann,2,Member,1
Amir Coffey,2,Member,1
Paul George,2,Member,1
Andre Drummond,2,Member,1
Jeff Green,2,Member,1
Delon Wright,2,Member,1
P.J. Tucker,2,Member,1
Eric Gordon,2,Member,1
Luke Kennard,2,Member,1
Kentavious Caldwell-Pope,2,Member,1
Drew Eubanks,2,Member,1
Caleb Martin,2,Member,1
Bones Hyland,2,Member,1
Lonnie Walker IV,2,Member,1
KJ Martin,2,Member,1
Derrick Jones Jr.,2,Member,1
Kevin Porter Jr.,2,Member,1
Brandon Boston Jr.,2,Member,1
Jordan Miller,2,Member,1
Kobe Brown,2,Member,1
Justin Edwards,2,Member,1
Jared McCain,2,Member,1
Adem Bona,2,Member,1
Guerschon Yabusele,2,Member,1
Cam Christie,2,Member,1
Phillip Wheeler,2,Member,1
Marcus Bagley,2,Member,1
Trentyn Flowers,2,Member,1
VJ Edgecombe,2,Member,1
Jahmyl Telfort,2,Member,1
Hunter Sallis,2,Member,1
Yanic Konan Niederhauser,2,Member,1
Kobe Sanders,2,Member,1
Johni Broome,2,Member,1
Mikal Bridges,3,Core,2
Royce O'Neale,3,Core,2
Cameron Johnson,3,Core,2
Devin Booker,3,Core,2
Nic Claxton,3,Core,2
Cameron Payne,3,Member,2
Deandre Ayton,3,Member,2
Chris Paul,3,Member,2
Cam Thomas,3,Member,2
Day'Ron Sharpe,3,Member,2
Ben Simmons,3,Member,2
Dennis Schröder,3,Member,2
Jae Crowder,3,Member,2
Bismack Biyombo,3,Member,2
Dario Šarić,3,Member,2
Landry Shamet,3,Member,2
Trendon Watford,3,Member,2
Keon Johnson,3,Member,2
Noah Clowney,3,Member,2
Jalen Wilson,3,Member,2
Dariq Whitehead,3,Member,2
Tyrese Martin,3,Member,2
Collin Gillespie,3,Member,2
Tyson Etienne,3,Member,2
Ryan Dunn,3,Member,2
Oso Ighodaro,3,Member,2
Reece Beekman,3,Member,2
Jaylen Martin,3,Member,2
Drew Timme,3,Member,2
Cui Yongxi,3,Member,2
Jalen Bridges,3,Member,2
Rasheer Fleming,3,Member,2
Nigel Hayes-Davis,3,Member,2
Khaman Maluach,3,Member,2
Koby Brea,3,Member,2
Ben Saraf,3,Member,2
Egor Dёmin,3,Member,2
Drake Powell,3,Member,2
Nolan Traoré,3,Member,2
Danny Wolf,3,Member,2
OG Anunoby,4,Core,3
Fred VanVleet,4,Core,3
RJ Barrett,4,Core,3
Jakob Poeltl,4,Core,3
Chris Boucher,4,Core,3
Mitchell Robinson,4,Member,3
Immanuel Quickley,4,Member,3
Julius Randle,4,Member,3
Josh Hart,4,Member,3
Jalen Brunson,4,Member,3
Gary Trent Jr.,4,Member,3
Kelly Olynyk,4,Member,3
Malachi Flynn,4,Member,3
Miles McBride,4,Member,3
Scottie Barnes,4,Member,3
Jericho Sims,4,Member,3
Garrett Temple,4,Member,3
Precious Achiuwa,4,Member,3
Ochai Agbaji,4,Member,3
Bruce Brown,4,Member,3
Gradey Dick,4,Member,3
Ron Harper Jr.,4,Member,3
DaQuan Jeffries,4,Member,3
D.J. Carton,4,Member,3
Jamison Battle,4,Member,3
Jonathan Mogbo,4,Member,3
Ja'Kobe Walter,4,Member,3
Jamal Shead,4,Member,3
Ariel Hukporti,4,Member,3
Tyler Kolek,4,Member,3
Pacome Dadiet,4,Member,3
Ulrich Chomche,4,Member,3
Kevin McCullar Jr.,4,Member,3
Anton Watson,4,Member,3
Mohamed Diawara,4,Member,3
Chucky Hepburn,4,Member,3
Collin Murray-Boyles,4,Member,3
Jaren Jackson Jr.,5,Core,4
Ja Morant,5,Core,4
John Konchar,5,Core,4
Brandon Clarke,5,Core,4
Desmond Bane,5,Core,4
Santi Aldama,5,Member,4
Dillon Brooks,5,Member,4
Xavier Tillman Sr.,5,Member,4
Tyus Jones,5,Member,4
Kyle Anderson,5,Member,4
Steven Adams,5,Member,4
Vince Williams Jr.,5,Member,4
Grayson Allen,5,Member,4
De'Anthony Melton,5,Member,4
Jake LaRavia,5,Member,4
Ziaire Williams,5,Member,4
Lamar Stevens,5,Member,4
GG Jackson II,5,Member,4
David Roddy,5,Member,4
Scotty Pippen Jr.,5,Member,4
Zach Edey,5,Member,4
Jaylen Wells,5,Member,4
Cam Spencer,5,Member,4
Zyon Pullin,5,Member,4
Yuki Kawamura,5,Member,4
Javon Small,5,Member,4
Jahmai Mashack,5,Member,4
Cedric Coward,5,Member,4
Jimmy Butler,6,Core,5
Bam Adebayo,6,Core,5
Tyler Herro,6,Core,5
Duncan Robinson,6,Core,5
Taj Gibson,6,Core,5
Kevin Love,6,Member,5
Alec Burks,6,Member,5
Gabe Vincent,6,Member,5
Haywood Highsmith,6,Member,5
Dru Smith,6,Member,5
Kevin Knox,6,Member,5
Nikola Jović,6,Member,5
Quentin Grimes,6,Member,5
Josh Richardson,6,Member,5
Elfrid Payton,6,Member,5
Max Strus,6,Member,5
Jaime Jaquez Jr.,6,Member,5
Orlando Robinson,6,Member,5
Jamal Cain,6,Member,5
Cole Swider,6,Member,5
Josh Christopher,6,Member,5
Keshad Johnson,6,Member,5
Kel'el Ware,6,Member,5
Pelle Larsson,6,Member,5
Alondes Williams,6,Member,5
Isaiah Stevens,6,Member,5
Myron Gardner,6,Member,5
Pascal Siakam,7,Core,6
T.J. McConnell,7,Core,6
Myles Turner,7,Core,6
Buddy Hield,7,Core,6
Isaiah Jackson,7,Core,6
Aaron Nesmith,7,Member,6
Tyrese Haliburton,7,Member,6
James Johnson,7,Member,6
Bennedict Mathurin,7,Member,6
Andrew Nembhard,7,Member,6
Jalen Smith,7,Member,6
Obi Toppin,7,Member,6
Tony Bradley,7,Member,6
Quenton Jackson,7,Member,6
Ben Sheppard,7,Member,6
Jarace Walker,7,Member,6
James Wiseman,7,Member,6
Oshae Brissett,7,Member,6
Jahlil Okafor,7,Member,6
Chris Duarte,7,Member,6
Johnny Furphy,7,Member,6
RayJ Dennis,7,Member,6
Jay Huff,7,Member,6
Mac McClung,7,Member,6
Tristen Newton,7,Member,6
Enrique Freeman,7,Member,6
Taelon Peter,7,Member,6
Cody Martin,8,Core,7
P.J. Washington,8,Core,7
Terry Rozier,8,Core,7
Nick Richards,8,Core,7
LaMelo Ball,8,Core,7
Mason Plumlee,8,Member,7
Miles Bridges,8,Member,7
Tre Mann,8,Member,7
Jalen McDaniels,8,Member,7
JT Thor,8,Member,7
Mark Williams,8,Member,7
Vasilije Micić,8,Member,7
Moussa Diabaté,8,Member,7
Brandon Miller,8,Member,7
Kai Jones,8,Member,7
Nick Smith Jr.,8,Member,7
Bryce McGowens,8,Member,7
KJ Simpson,8,Member,7
Tidjane Salaün,8,Member,7
Isaiah Wong,8,Member,7
Marcus Garrett,8,Member,7
Jaylen Sims,8,Member,7
Damion Baugh,8,Member,7
Kon Knueppel,8,Member,7
Ryan Kalkbrenner,8,Member,7
Sion James,8,Member,7
Liam McNeeley,8,Member,7
Jarred Vanderbilt,9,Core,8
Anthony Davis,9,Core,8
D'Angelo Russell,9,Core,8
LeBron James,9,Core,8
Malik Beasley,9,Core,8
Rui Hachimura,9,Member,8
Bradley Beal,9,Member,8
Austin Reaves,9,Member,8
Jaxson Hayes,9,Member,8
Max Christie,9,Member,8
Thomas Bryant,9,Member,8
Cam Reddish,9,Member,8
Jordan Goodwin,9,Member,8
Maxwell Lewis,9,Member,8
Jalen Hood-Schifino,9,Member,8
Trey Jemison,9,Member,8
Christian Koloko,9,Member,8
Dalton Knecht,9,Member,8
Bronny James,9,Member,8
Colin Castleton,9,Member,8
Armel Traoré,9,Member,8
Quincy Olivari,9,Member,8
Adou Thiero,9,Member,8
Chris Mañon,9,Member,8
Dwight Powell,10,Core,9
Maxi Kleber,10,Core,9
Luka Dončić,10,Core,9
Dorian Finney-Smith,10,Core,9
Tim Hardaway Jr.,10,Core,9
Kyrie Irving,10,Member,9
Markieff Morris,10,Member,9
Spencer Dinwiddie,10,Member,9
Seth Curry,10,Member,9
Kristaps Porziņģis,10,Member,9
Josh Green,10,Member,9
Jaden Hardy,10,Member,9
Taurean Prince,10,Member,9
Brandon Williams,10,Member,9
Dereck Lively II,10,Member,9
Moses Brown,10,Member,9
Olivier-Maxence Prosper,10,Member,9
A.J. Lawson,10,Member,9
Jazian Gortman,10,Member,9
Moussa Cisse,10,Member,9
Miles Kelly,10,Member,9
Cooper Flagg,10,Member,9
Ryan Nembhard,10,Member,9
Shai Gilgeous-Alexander,11,Core,10
Luguentz Dort,11,Core,10
Kenrich Williams,11,Core,10
Aaron Wiggins,11,Core,10
Isaiah Joe,11,Core,10
Ousmane Dieng,11,Member,10
Jalen Williams,11,Member,10
Jaylin Williams,11,Member,10
